iter	RMSE
0	71070.81983
1	64979.41002
2	59240.26501
3	54179.71503
4	49568.31768
5	45447.51421
6	41595.77362
7	38262.66857
8	35235.68083
9	32624.006
10	30092.51382
11	27868.10271
12	25984.88825
13	24308.22497
14	22887.76655
15	21630.17088
16	20476.05671
17	19561.5573
18	18686.19305
19	17886.4032
20	17237.37707
21	16691.83546
22	16191.72
23	15833.3641
24	15464.9581
25	15185.18504
26	14928.81111
27	14707.56266
28	14522.58885
29	14370.32526
30	14241.20731
31	14141.57237
32	14044.54058
33	13956.21448
34	13885.48093
35	13816.4976
36	13778.39274
37	13734.13353
38	13687.92817
39	13638.25855
40	13595.04784
41	13574.24977
42	13538.39715
43	13497.64668
44	13466.64638
45	13438.8049
46	13405.42851
47	13391.17046
48	13374.5551
49	13360.78844
50	13339.89669
51	13324.74009
52	13301.15427
53	13271.29183
54	13261.66351
55	13240.12412
56	13226.88332
57	13213.65524
58	13197.71888
59	13180.88213
60	13170.78474
61	13161.30472
62	13146.46074
63	13137.73593
64	13130.26334
65	13111.81603
66	13095.50429
67	13086.97126
68	13083.76395
69	13074.58376
70	13058.77077
71	13048.89858
72	13024.77757
73	13012.57592
74	12998.22177
75	12988.7096
76	12977.80689
77	12970.10571
78	12964.32236
79	12941.20468
80	12923.89148
81	12905.26377
82	12882.50721
83	12869.85499
84	12854.45988
85	12839.9447
86	12807.23935
87	12797.06504
88	12785.88579
89	12771.17998
90	12763.49033
91	12748.43841
92	12744.91245
93	12729.78667
94	12715.94159
95	12702.09392
96	12684.83129
97	12656.00852
98	12645.41526
99	12639.95526
100	12626.21579
101	12616.15208
102	12606.2976
103	12597.5518
104	12585.01006
105	12571.20856
106	12566.4117
107	12551.47728
108	12540.8127
109	12525.83809
110	12522.11208
111	12516.13154
112	12503.11807
113	12490.72989
114	12480.21097
115	12466.47988
116	12445.23337
117	12437.76904
118	12426.08686
119	12415.15088
120	12402.71907
121	12397.07825
122	12387.84664
123	12383.59728
124	12379.8506
125	12363.08268
126	12351.38852
127	12347.26547
128	12337.84423
129	12320.19637
130	12310.34984
131	12300.61125
132	12294.03546
133	12287.25818
134	12259.2916
135	12246.28326
136	12236.89024
137	12233.38924
138	12214.56856
139	12202.19963
140	12192.48962
141	12182.51949
142	12168.19497
143	12156.65042
144	12136.77689
145	12120.77188
146	12112.4659
147	12104.18124
148	12097.72961
149	12093.95717
150	12086.25807
151	12071.90089
152	12063.57142
153	12050.33546
154	12039.03439
155	12029.28193
156	12015.08164
157	12008.54184
158	11997.70535
159	11989.28979
160	11981.11778
161	11977.74126
162	11963.69593
163	11951.69925
164	11940.37446
165	11933.68292
166	11930.28002
167	11921.72975
168	11895.77145
169	11878.25443
170	11869.14018
171	11866.648
172	11859.10826
173	11853.08862
174	11842.73083
175	11823.92771
176	11808.2625
177	11792.23851
178	11781.67518
179	11770.70792
180	11762.49492
181	11753.5069
182	11745.74906
183	11734.80682
184	11729.85447
185	11719.85531
186	11702.08283
187	11697.89215
188	11686.79646
189	11666.83894
190	11661.66416
191	11650.07274
192	11639.96437
193	11633.68649
194	11621.37023
195	11619.2884
196	11603.77604
197	11598.14114
198	11588.66409
199	11586.84064
200	11577.11272
201	11566.33828
202	11562.14632
203	11556.883
204	11548.76147
205	11539.89877
206	11531.00465
207	11524.34363
208	11491.35687
209	11482.65781
210	11470.92709
211	11463.61897
212	11456.40617
213	11446.25832
214	11414.06651
215	11408.01113
216	11400.45099
217	11383.70688
218	11375.3475
219	11370.66463
220	11359.75212
221	11355.57666
222	11351.57946
223	11346.3576
224	11340.33459
225	11334.06608
226	11320.61586
227	11312.84906
228	11300.67574
229	11295.44449
230	11289.97593
231	11281.10571
232	11275.26894
233	11269.88324
234	11268.05497
235	11263.43487
236	11254.79406
237	11245.40084
238	11221.58081
239	11216.29228
240	11209.4714
241	11205.17442
242	11199.80266
243	11176.29316
244	11171.58735
245	11164.65678
246	11157.41214
247	11153.19267
248	11140.46701
249	11134.65328
250	11130.46472
251	11123.37325
252	11115.84692
253	11109.53902
254	11103.20426
255	11097.16181
256	11093.67668
257	11084.71377
258	11083.52478
259	11072.04947
260	11068.86139
261	11063.04783
262	11052.77018
263	11044.24443
264	11041.49357
265	11038.02216
266	11034.60473
267	11028.4883
268	11023.7651
269	11019.20554
270	11006.7129
271	11004.50419
272	10996.17633
273	10990.73592
274	10984.59256
275	10978.29698
276	10972.49023
277	10970.06866
278	10967.79403
279	10963.20649
280	10957.77991
281	10955.71705
282	10953.16544
283	10950.51072
284	10938.64647
285	10934.25701
286	10929.91644
287	10917.52614
288	10911.20697
289	10906.16353
290	10903.25777
291	10898.75749
292	10898.00017
293	10891.5745
294	10889.49963
295	10884.00832
296	10878.80227
297	10873.501
298	10862.60823
299	10858.30452
300	10856.27701
301	10850.44966
