iter	Passed	Remaining
0	278	139162
1	423	105345
2	591	97997
3	790	98083
4	965	95582
5	1165	95928
6	1330	93737
7	1486	91445
8	1623	88564
9	1790	87717
10	1951	86744
11	2129	86586
12	2284	85587
13	2439	84671
14	2606	84269
15	2778	84037
16	2933	83333
17	3082	82544
18	3242	82077
19	3390	81371
20	3542	80795
21	3714	80707
22	3892	80732
23	4037	80078
24	4172	79271
25	4331	78967
26	4473	78374
27	4649	78379
28	4822	78319
29	4991	78201
30	5131	77640
31	5266	77022
32	5411	76586
33	5553	76111
34	5707	75822
35	5862	75561
36	6018	75309
37	6171	75035
38	6307	74554
39	6469	74403
40	6660	74560
41	6821	74387
42	7074	75186
43	7248	75122
44	7392	74750
45	7529	74310
46	7681	74035
47	7822	73662
48	7965	73313
49	8120	73087
50	8315	73210
51	8472	72990
52	8622	72720
53	8773	72463
54	8924	72204
55	9090	72074
56	9279	72118
57	9452	72033
58	9648	72120
59	9815	71978
60	10043	72282
61	10192	72007
62	10385	72036
63	10549	71871
64	10738	71862
65	10870	71483
66	11031	71290
67	11201	71160
68	11439	71456
69	11561	71019
70	11832	71494
71	11980	71219
72	12131	70962
73	12262	70590
74	12428	70430
75	12589	70235
76	12785	70237
77	12931	69961
78	13118	69911
79	13261	69624
80	13476	69711
81	13623	69446
82	13780	69235
83	13925	68962
84	14070	68697
85	14225	68479
86	14416	68437
87	14578	68253
88	14739	68066
89	14896	67862
90	15122	67970
91	15322	67953
92	15467	67691
93	15637	67540
94	15790	67316
95	15935	67060
96	16133	67028
97	16344	67044
98	16541	67002
99	16722	66891
100	16854	66583
101	17002	66342
102	17142	66072
103	17283	65809
104	17441	65612
105	17618	65487
106	17774	65285
107	17936	65104
108	18088	64887
109	18259	64739
110	18418	64546
111	18565	64316
112	18735	64164
113	18902	64001
114	19072	63850
115	19217	63618
116	19416	63560
117	19606	63472
118	19767	63289
119	19926	63100
120	20106	62978
121	20317	62950
122	20502	62840
123	20667	62668
124	20803	62411
125	21002	62341
126	21215	62310
127	21369	62104
128	21526	61910
129	21664	61660
130	21801	61408
131	21946	61185
132	22079	60926
133	22244	60757
134	22392	60543
135	22546	60343
136	22700	60147
137	22862	59973
138	23005	59747
139	23154	59540
140	23296	59314
141	23445	59107
142	23580	58869
143	23735	58679
144	23968	58681
145	24202	58683
146	24336	58441
147	24456	58167
148	24587	57921
149	24720	57681
150	24850	57436
151	25021	57287
152	25174	57094
153	25309	56864
154	25502	56762
155	25640	56540
156	25783	56330
157	25920	56106
158	26072	55916
159	26207	55689
160	26351	55484
161	26503	55297
162	26655	55109
163	26812	54932
164	26949	54715
165	27105	54537
166	27253	54343
167	27387	54123
168	27532	53925
169	27686	53743
170	27816	53517
171	27994	53384
172	28129	53170
173	28276	52977
174	28406	52754
175	28549	52557
176	28722	52414
177	28952	52374
178	29173	52316
179	29359	52194
180	29511	52011
181	29674	51848
182	29838	51687
183	30004	51529
184	30205	51430
185	30385	51296
186	30575	51176
187	30761	51050
188	30940	50912
189	31092	50730
190	31288	50618
191	31456	50461
192	31634	50320
193	31804	50165
194	31962	49992
195	32107	49799
196	32279	49647
197	32454	49501
198	32621	49342
199	32788	49183
200	32965	49038
201	33124	48866
202	33288	48703
203	33444	48527
204	33589	48336
205	33738	48151
206	33880	47957
207	34020	47759
208	34171	47578
209	34321	47395
210	34480	47226
211	34639	47057
212	34819	46916
213	34993	46766
214	35149	46594
215	35286	46394
216	35422	46196
217	35568	46010
218	35700	45807
219	35836	45610
220	35993	45439
221	36136	45251
222	36287	45074
223	36427	44884
224	36575	44702
225	36725	44525
226	36879	44352
227	37042	44191
228	37194	44016
229	37332	43825
230	37466	43630
231	37608	43443
232	37743	43251
233	37877	43057
234	38040	42897
235	38175	42704
236	38328	42533
237	38469	42349
238	38606	42159
239	38758	41988
240	38897	41802
241	39045	41626
242	39193	41451
243	39337	41272
244	39484	41096
245	39625	40914
246	39771	40737
247	39905	40549
248	40078	40400
249	40220	40220
250	40372	40050
251	40566	39922
252	40701	39736
253	40845	39559
254	41007	39399
255	41136	39208
256	41312	39062
257	41456	38885
258	41607	38715
259	41760	38548
260	41919	38386
261	42105	38248
262	42305	38122
263	42481	37975
264	42628	37802
265	42783	37636
266	42912	37448
267	43083	37296
268	43223	37117
269	43396	36967
270	43524	36779
271	43674	36609
272	43866	36474
273	44017	36306
274	44164	36134
275	44305	35957
276	44481	35809
277	44649	35655
278	44788	35477
279	44951	35319
280	45085	35138
281	45230	34965
282	45412	34821
283	45546	34641
284	45682	34462
285	45839	34299
286	45989	34131
287	46120	33950
288	46255	33771
289	46401	33600
290	46526	33416
291	46670	33244
292	46812	33072
293	46965	32907
294	47115	32741
295	47253	32566
296	47397	32396
297	47559	32237
298	47737	32091
299	47898	31932
300	48051	31768
301	48189	31594
302	48335	31426
303	48487	31261
304	48642	31099
305	48804	30941
306	48960	30779
307	49128	30625
308	49269	30454
309	49449	30307
310	49609	30148
311	49786	29999
312	49935	29833
313	50064	29656
314	50194	29479
315	50345	29315
316	50498	29152
317	50645	28985
318	50820	28835
319	50980	28676
320	51140	28517
321	51283	28349
322	51460	28199
323	51609	28035
324	51761	27871
325	51898	27700
326	52057	27541
327	52190	27368
328	52344	27206
329	52512	27051
330	52686	26900
331	52840	26738
332	52984	26571
333	53138	26409
334	53264	26234
335	53421	26074
336	53613	25931
337	53758	25765
338	53897	25597
339	54102	25459
340	54257	25299
341	54414	25138
342	54555	24971
343	54700	24806
344	54844	24640
345	54977	24469
346	55115	24301
347	55261	24137
348	55397	23968
349	55530	23798
350	55666	23630
351	55804	23463
352	55987	23314
353	56140	23153
354	56282	22988
355	56475	22843
356	56661	22696
357	56803	22531
358	56976	22378
359	57133	22218
360	57263	22048
361	57415	21887
362	57557	21722
363	57708	21561
364	57834	21390
365	58003	21236
366	58132	21066
367	58292	20909
368	58421	20740
369	58575	20580
370	58741	20424
371	58949	20283
372	59109	20125
373	59255	19963
374	59413	19804
375	59580	19648
376	59759	19497
377	59920	19339
378	60117	19193
379	60330	19051
380	60459	18883
381	60597	18718
382	60762	18562
383	60919	18402
384	61115	18255
385	61287	18100
386	61436	17938
387	61580	17775
388	61729	17614
389	61873	17451
390	62014	17288
391	62177	17130
392	62376	16982
393	62533	16823
394	62731	16675
395	62881	16514
396	63047	16357
397	63192	16194
398	63363	16039
399	63502	15875
400	63651	15714
401	63798	15552
402	63929	15387
403	64062	15222
404	64225	15065
405	64381	14906
406	64552	14750
407	64693	14587
408	64858	14430
409	65006	14269
410	65201	14119
411	65358	13960
412	65503	13798
413	65641	13635
414	65802	13477
415	65937	13314
416	66065	13149
417	66212	12988
418	66338	12824
419	66490	12664
420	66644	12505
421	66780	12343
422	66907	12179
423	67059	12020
424	67225	11863
425	67377	11704
426	67520	11543
427	67659	11381
428	67819	11224
429	67951	11061
430	68083	10899
431	68235	10740
432	68392	10582
433	68588	10430
434	68745	10272
435	68917	10116
436	69104	9962
437	69268	9805
438	69421	9646
439	69592	9489
440	69762	9333
441	69932	9176
442	70090	9018
443	70245	8859
444	70404	8701
445	70567	8544
446	70742	8387
447	70906	8230
448	71074	8073
449	71245	7916
450	71395	7756
451	71548	7598
452	71703	7439
453	71857	7280
454	72031	7123
455	72200	6966
456	72372	6809
457	72533	6651
458	72693	6493
459	72858	6335
460	73026	6177
461	73186	6019
