Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp,rainfall_adequacy_index,thermal_stress_score,log_pesticides,yield_lag_1,rainfall_roll3
Albania,Maize,1991,29068,1485.0,121.0,15.36,2.2846,8.64,4.804,36613.0,1485.0
Albania,Maize,1992,24876,1485.0,121.0,16.06,2.2846,7.94,4.804,29068.0,1485.0
Albania,Maize,1993,24185,1485.0,121.0,16.05,2.2846,7.95,4.804,24876.0,1485.0
Albania,Maize,1994,25848,1485.0,201.0,16.96,2.2846,7.04,5.3083,24185.0,1485.0
Albania,Maize,1995,31300,1485.0,251.0,15.67,2.2846,8.33,5.5294,25848.0,1485.0
Albania,Maize,1996,32604,1485.0,313.96,15.64,2.2846,8.36,5.7524,31300.0,1485.0
Albania,Maize,1997,31862,1485.0,376.93,15.9,2.2846,8.1,5.9347,32604.0,1485.0
Albania,Maize,1998,33416,1485.0,439.89,16.27,2.2846,7.73,6.0888,31862.0,1485.0
Albania,Maize,1999,37455,1485.0,502.86,16.57,2.2846,7.43,6.2223,33416.0,1485.0
Albania,Maize,2000,38811,1485.0,565.82,16.67,2.2846,7.33,6.34,37455.0,1485.0
Albania,Maize,2001,38135,1485.0,628.79,16.59,2.2846,7.41,6.4454,38811.0,1485.0
Albania,Maize,2002,39460,1485.0,691.75,16.47,2.2846,7.53,6.5407,38135.0,1485.0
Albania,Maize,2004,46197,1485.0,817.68,16.16,2.2846,7.84,6.7077,39460.0,1485.0
Albania,Maize,2005,45442,1485.0,880.64,15.67,2.2846,8.33,6.7818,46197.0,1485.0
Albania,Maize,2006,50111,1485.0,943.61,15.92,2.2846,8.08,6.8508,45442.0,1485.0
Albania,Maize,2007,46732,1485.0,1006.57,16.67,2.2846,7.33,6.9153,50111.0,1485.0
Albania,Maize,2008,50000,1485.0,1069.54,16.71,2.2846,7.29,6.9759,46732.0,1485.0
Albania,Maize,2009,55693,1485.0,1132.5,16.73,2.2846,7.27,7.0331,50000.0,1485.0
Albania,Maize,2010,66790,1485.0,1311.17,16.52,2.2846,7.48,7.1794,55693.0,1485.0
Albania,Maize,2011,59869,1485.0,1302.63,16.45,2.2846,7.55,7.1729,66790.0,1485.0
Albania,Maize,2012,67290,1485.0,766.25,16.7,2.2846,7.3,6.6428,59869.0,1485.0
Albania,Maize,2013,69533,1485.0,982.32,17.41,2.2846,6.59,6.8909,67290.0,1485.0
Albania,Potatoes,1991,77818,1485.0,121.0,15.36,2.475,2.64,4.804,66667.0,1485.0
Albania,Potatoes,1992,82920,1485.0,121.0,16.06,2.475,1.94,4.804,77818.0,1485.0
Albania,Potatoes,1993,98446,1485.0,121.0,16.05,2.475,1.95,4.804,82920.0,1485.0
Albania,Potatoes,1994,81404,1485.0,201.0,16.96,2.475,1.04,5.3083,98446.0,1485.0
Albania,Potatoes,1995,111323,1485.0,251.0,15.67,2.475,2.33,5.5294,81404.0,1485.0
Albania,Potatoes,1996,106138,1485.0,313.96,15.64,2.475,2.36,5.7524,111323.0,1485.0
Albania,Potatoes,1997,109874,1485.0,376.93,15.9,2.475,2.1,5.9347,106138.0,1485.0
Albania,Potatoes,1998,127212,1485.0,439.89,16.27,2.475,1.73,6.0888,109874.0,1485.0
Albania,Potatoes,1999,142018,1485.0,502.86,16.57,2.475,1.43,6.2223,127212.0,1485.0
Albania,Potatoes,2000,141228,1485.0,565.82,16.67,2.475,1.33,6.34,142018.0,1485.0
Albania,Potatoes,2001,148818,1485.0,628.79,16.59,2.475,1.41,6.4454,141228.0,1485.0
Albania,Potatoes,2002,153868,1485.0,691.75,16.47,2.475,1.53,6.5407,148818.0,1485.0
Albania,Potatoes,2004,149346,1485.0,817.68,16.16,2.475,1.84,6.7077,153868.0,1485.0
Albania,Potatoes,2005,167061,1485.0,880.64,15.67,2.475,2.33,6.7818,149346.0,1485.0
Albania,Potatoes,2006,170745,1485.0,943.61,15.92,2.475,2.08,6.8508,167061.0,1485.0
Albania,Potatoes,2007,188902,1485.0,1006.57,16.67,2.475,1.33,6.9153,170745.0,1485.0
Albania,Potatoes,2008,193878,1485.0,1069.54,16.71,2.475,1.29,6.9759,188902.0,1485.0
Albania,Potatoes,2009,219780,1485.0,1132.5,16.73,2.475,1.27,7.0331,193878.0,1485.0
Albania,Potatoes,2010,231111,1485.0,1311.17,16.52,2.475,1.48,7.1794,219780.0,1485.0
Albania,Potatoes,2011,242211,1485.0,1302.63,16.45,2.475,1.55,7.1729,231111.0,1485.0
Albania,Potatoes,2012,250538,1485.0,766.25,16.7,2.475,1.3,6.6428,242211.0,1485.0
Albania,Potatoes,2013,260110,1485.0,982.32,17.41,2.475,0.59,6.8909,250538.0,1485.0
Albania,Rice,1991,28538,1485.0,121.0,15.36,0.8486,9.64,4.804,23333.0,1485.0
Albania,Rice,1992,40000,1485.0,121.0,16.06,0.8486,8.94,4.804,28538.0,1485.0
Albania,Rice,1993,41786,1485.0,121.0,16.05,0.8486,8.95,4.804,40000.0,1485.0
Albania,Sorghum,1991,6667,1485.0,121.0,15.36,2.5826,11.64,4.804,12500.0,1485.0
Albania,Sorghum,1992,3747,1485.0,121.0,16.06,2.5826,10.94,4.804,6667.0,1485.0
Albania,Soybeans,1991,6066,1485.0,121.0,15.36,2.5826,9.64,4.804,7000.0,1485.0
Albania,Soybeans,1992,4507,1485.0,121.0,16.06,2.5826,8.94,4.804,6066.0,1485.0
Albania,Soybeans,1993,7998,1485.0,121.0,16.05,2.5826,8.95,4.804,4507.0,1485.0
Albania,Soybeans,1994,7927,1485.0,201.0,16.96,2.5826,8.04,5.3083,7998.0,1485.0
Albania,Soybeans,1995,11791,1485.0,251.0,15.67,2.5826,9.33,5.5294,7927.0,1485.0
Albania,Soybeans,1996,15480,1485.0,313.96,15.64,2.5826,9.36,5.7524,11791.0,1485.0
